# ALL Latin-script runs in body — 1643 distinct, 3608 occurrences
# count	first_line	term
2	957	behavior
2	1755	behaviours
2	416	Book-and-Claim
2	1251	BopsApi.Server
2	1479	browser
2	511	Brussels
2	2326	buddy
2	1691	build-time secrets
2	1196	Bunker Optimization Planning System
2	2147	By Example
2	461	C
2	508	Cambridge University Press
2	1425	carbon-aware
2	511	CEN
2	348	chartered vessels
2	2061	CI pipeline
2	1937	clearing account
2	1889	clearing accounts
2	508	Climate Change
2	1765	code reviews
2	512	Cologne
2	2354	commit messages
2	804	consistency
2	710	consumer
2	1763	controllers
2	76	Corporate Sustainability Reporting Directive
2	1129	Cost of Abatement
2	378	cost-based
2	2519	D
2	1717	DAG
2	1663	dashboards
2	243	data freshness
2	284	data tracking
2	1665	database queries
2	1245	de facto
2	528	definitive
2	1882	Director
2	2129	distributed
2	509	Doha Amendment to the Kyoto Protocol
2	1787	Domain-Driven Design
2	2368	downtime
2	472	dry
2	153	e-fuels
2	615	ECM
2	1479	Eco Delivery
2	884	ECO1
2	885	ECO2
2	261	ECOv1/ECOv2
2	362	EEIO
2	1717	Elixir monorepo
2	1479	Emissions Data Inventory
2	921	emissions factors
2	80	Energy Transition
2	1415	enqueuer
2	638	error handling
2	80	ET
2	1225	ETA/ETD
2	2022	ETW
2	818	EU ETS surcharge
2	511	European Committee for Standardization
2	2517	Evans
2	957	Event
2	1933	event replay
2	1931	Event sourcing
2	1935	event stream
2	595	export
2	2094	Extreme Programming Explained
2	1689	fine-grained
2	850	fossil baseline vs ECO actual
2	1757	Gateways
2	337	GHGP Scope
2	891	gigajoules
2	1689	GitHub Actions workflow
2	94	GLEC
2	513	Global Logistics Emissions Council Framework for Logistics Emissions Accounting and Reporting
2	315	Global Warming Potential
2	1663	Grafana
2	1661	Grafana Loki
2	307	Greenhouse Gas Protocol
2	72	greenhouse gases
2	510	Greenhouse gases
2	211	GRESB
2	282	Group Internal Audit
2	1620	HashiCorp
2	733	High Sulfur Fuel Oil
2	1188	HSFO
2	1479	HTML
2	1223	HTTP
2	1665	HTTP requests
2	2262	InfoSec team
2	1825	infrastructure
2	1715	instrumentation
2	72	integrated logistics provider
2	510	International Organization for Standardization
2	1401	interval
2	317	IPCC
2	166	ISCC Plus
2	112	ISCC/POS
2	2511	J
2	2521	Juri
2	2513	K
2	1997	Kafka consumers
2	1443	Kafka events
2	2001	Kafka messages
2	2094	Kent Beck
2	360	kgCO
2	2046	Kubernetes pods
2	378	LNG
2	72	Logistics
2	1661	LogQL
2	1661	Logs
2	733	Low Sulfur Distillate
2	1188	LSDIS
2	203	Marine Environment Protection Committee
2	148	Marine Gas Oil
2	2523	Martin
2	416	Mass Balance
2	2346	merge
2	697	message broker
2	162	methanol-ready
2	511	Methodology for calculation and declaration of energy consumption and GHG emissions of transport services
2	1663	Metrics
2	1594	Microsoft Azure
2	2248	Microsoft Teams
2	1206	Multi-Bundle Connector
2	1479	namespaces
2	1247	native
2	2511	nd Edition
2	1247	NIFs
2	1624	nix-darwin
2	1443	Node.js
2	1076	Oban worker
2	1995	Observability
2	136	Ocean
2	1087	offset
2	1331	Open Database Connectivity
